,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
43,,Federico Fellini,,Angelo Rizzoli,"['Marcello Mastroianni', 'Claudia Cardinale', 'Anouk Aimée', 'Sandra Milo', 'Rossella Falk', 'Barbara Steele', 'Guido Alberti', 'Madeleine Lebeau', 'Jean Rougeul', 'Caterina Boratto', 'Annibale Ninchi', 'Giuditta Rissone']",Gianni Di Venanzo,Leo Catozzo,Nino Rota,"['Cineriz (Italy)', 'Columbia Pictures (France)']",['14 February 1963'],138 minutes,,Italian,138,1963-02-14,,,,,,,"['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano', 'Brunello Rondi']","['Federico Fellini', 'Ennio Flaiano']",,,,$3.5 million (rentals),"['Cineriz', 'Francinex']","['Italy', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Knife in the Water,Roman Polanski,,Stanislaw Zylewicz,"['Leon Niemczyk', 'Jolanta Umecka', 'Zygmunt Malanowicz']",Jerzy Lipman,Halina Prugar-Ketling,Krzysztof T. Komeda,Zespol Filmowy,"['9 March 1962 (Poland)', '28 October 1963 (U.S.)']",94 minutes,Poland,Polish,94,1962-03-09,6.5,N/A,,N/A,"Documentary, Short",N/A,"['Roman Polanski', 'Jakub Goldberg', 'Jerzy Skolimowski']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Los Tarantos,Francisco Rovira Beleta,"['Francisco Rovira Beleta', 'Alfredo Mañas']",,"['Antonio Gades', 'Carmen Amaya']",Massimo Dallamano,Emilio Rodríguez,"['Andrés Batista', 'Fernando García Morcillo', 'Emilio Pujol', 'José Solá']",,['5 November 1963'],112 minutes,Spain,Spanish,112,1963-11-05,7.2,N/A,,A boy and a girl from two rival Gypsy families fall in love.,"Drama, Romance",Nominated for 1 Oscar. 4 wins & 1 nomination total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,The Red Lanterns,Vasilis Georgiadis,Alekos Galanos,"['Theophanis Damaskinos', 'Victor Michaelides']","['Tzeni Karezi', 'George Foundas', 'Mary Chronopoulou', 'Dimitris Papamichael', 'Manos Katrakis', 'Alexandra Lydikou', 'Despo Diamantidou', 'Katerina Helmi', 'Phaedon Georgitsis', 'Notis Pergialis', 'Eleni Anousaki']",Nikos Gardelis,,Stavros Xarchakos,,['1963'],132 minutes,Greece,Greek,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Twin Sisters of Kyoto,Noboru Nakamura,"['Toshihide Gondo (screenplay)', 'Yasunari Kawabata (novel)']",Ryōtarō Kuwata,"['Shima Iwashita', 'Hiroyuki Nagato', 'Seiji Miyaguchi']",Tōichirō Narushima,Hisashi Sagara,Toru Takemitsu,Shochiku,['13 January 1963 (Japan)'],106 minutes,Japan,Japanese,106,1963-01-13,,,,,,,,,,Shochiku,,,,,,,,,Koto,,,,,,,,,,,,,,,,,,,,,,,,
48,"Yesterday, Today and Tomorrow",Vittorio De Sica,"['Bella Billa', 'Eduardo De Filippo', 'Alberto Moravia', 'Isabella Quarantotti', 'Cesare Zavattini']","['Carlo Ponti', 'Joseph E. Levine']","['Sophia Loren', 'Marcello Mastroianni']",Giuseppe Rotunno,Adriana Novelli,Armando Trovajoli,Embassy Pictures Corporation,['19 December 1963'],118 minutes,Italy,Italian,118,1963-12-19,7.3,N/A,,N/A,N/A,N/A,,,,,,$4.1 million (US/Canada) (rentals) $9.3 million（US and Canada）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Raven's End,Bo Widerberg,Bo Widerberg,Waldemar Bergendahl,"['Thommy Berggren', 'Keve Hjelm']",Jan Lindeström,Wic Kjellin,,,['26 December 1963'],101 minutes,Sweden,Swedish,101,1963-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sallah Shabati,Ephraim Kishon,,Menahem Golan,"['Chaim Topol', 'Arik Einstein', 'Gila Almagor', 'Shraga Friedman']",Floyd Crosby,,,,['June 1964'],110 minutes,Israel,Hebrew,110,1964-06-01,7.3,N/A,,"The sharp, often hilarious satire that became the most successful film in Israeli history (until that time) is about new immigrants Sallah and his family, who are left in a shack near their promised apartment and are abandoned for mo","Comedy, Drama",Nominated for 1 Oscar. 4 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,The Umbrellas of Cherbourg,Jacques Demy,Jacques Demy,Mag Bodard,"['Catherine Deneuve', 'Anne Vernon', 'Nino Castelnuovo', 'Marc Michel']",Jean Rabier,"['Anne-Marie Cotret', 'Monique Teisseire']",Michel Legrand,20th Century Fox (France),"['19 February 1964 (France)', '12 November 1965 (West Germany)']",91 minutes,,French,91,1964-02-19,,,,,,,,,,,,$7.6 million,,"['France', 'West Germany']",,,,,,Les Parapluies de Cherbourg,,,,,,,,,,,,,,,,,,,,,,,
52,Woman in the Dunes,Hiroshi Teshigahara,,"['Kiichi Ichikawa', 'Tadashi Ono']","['Eiji Okada', 'Kyōko Kishida']",Hiroshi Segawa,Fusako Shuzui,Toru Takemitsu,Toho,"['February 15, 1964 (Japan)']",146 minutes,Japan,Japanese,146,1964-02-15,,,,,,,Kōbō Abe,,"['The Woman in the Dunes', 'by Kōbō Abe']",Teshigahara Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,The Shop on Main Street,"['Ján Kadár', 'Elmar Klos']","['Novel:', 'Ladislav Grosman', 'Screenplay:', 'Ladislav Grosman', 'Ján Kadár', 'Elmar Klos']",,"['Ida Kamińska', 'Jozef Kroner', 'Hana Slivková', 'Martin Hollý, Sr.', 'František Zvarík', 'Martin Gregor']",Vladimír Novotný,"['Diana Heringová', 'Jaromír Janáček']",Zdeněk Liška,,['8 October 1965'],125 minutes,Czechoslovakia,,125,1965-10-08,,,,,,,,,,Barrandov Studios,,"$1,450,000 (US/ Canada)",,,"['Slovak', 'Yiddish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Blood on the Land,Vasilis Georgiadis,Nikos Foskolos,,Nikos Kourkoulos,Nikos Dimopoulos,,,,['1966'],130 minutes,Greece,Greek,130,,6.4,N/A,,N/A,"Documentary, Short",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Käre John,Lars-Magnus Lindgren,"['Lars-Magnus Lindgren', 'Olle Länsberg', '(novel)']",,,,,,,['23 November 1964'],115 minutes,Sweden,Swedish,115,1964-11-23,6.4,N/A,,"John is a shipmaster on a very small transportation boat which regularly attends a very small harbour to buy food, actually from Anna's father. She is a waitress and has a young daughter. She tells John that her name is Anita. They h","Drama, Romance",Nominated for 1 Oscar. 2 wins & 3 nominations total,,,,,,"$4,000,000 (US/ Canada)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kwaidan,Masaki Kobayashi,,Shigeru Wakatsuki,"['Tatsuya Nakadai', 'Rentarō Mikuni', 'Tetsurō Tamba', 'Keiko Kishi', 'Michiyo Aratama', 'Misako Watanabe', 'Yoichi Hayashi', 'Katsuo Nakamura', 'Osamu Takizawa', 'Haruko Sugimura', ""Nakamura Kan'emon"", 'Nakamura Ganjirō II']",Yoshio Miyajima,Hisashi Sagara,Toru Takemitsu,Toho,"['January 6, 1965 (Japan)']",182 minutes,Japan,Japanese,182,1965-01-06,,,,,,,Yoko Mizuki,,"['Stories and Studies of Strange Things', 'by', 'Lafcadio Hearn']",Ninjin Club,¥320 million,¥225 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Marriage Italian Style,Vittorio De Sica,,Carlo Ponti,"['Sophia Loren', 'Marcello Mastroianni', 'Aldo Puglisi', 'Tecla Scarano', ""Marilu' Tolo""]",Roberto Gerardi,Adriana Novelli,Armando Trovajoli,"['Interfilm', 'Embassy Pictures']",['1964'],102 minutes,,,102,,,,,,,,"['Renato Castellani', 'Tonino Guerra', 'Leo Benvenuti', 'Piero De Bernardi']",,"['Filumena Marturano', 'by', 'Eduardo De Filippo']",,,"['$3.7 million (Italy)', '$4.1 million (US/Canada) (rentals)', '$9.1 million（US and Canada）']","['Compagnia Cinematografica Champion', 'Les Films Concordia']","['Italy', 'France']","Italian, Neapolitan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A Man and a Woman,Claude Lelouch,"['Pierre Uytterhoeven', 'Uncredited:', 'Claude Lelouch']",Claude Lelouch,"['Anouk Aimée', 'Jean-Louis Trintignant']",Claude Lelouch,"['Claude Barrois', 'Uncredited:', 'Claude Lelouch']",Francis Lai,Allied Artists,['12 July 1966'],102 minutes,France,French,102,1966-07-12,N/A,N/A,,"A Woman forces her lover to assist in murdering her Husband, whose cheating with someone who looks like her. But appearances deceive.","Short, Mystery",N/A,,,,Les Films 13,,$14 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,The Battle of Algiers,Gillo Pontecorvo,"['Gillo Pontecorvo', 'Franco Solinas']","['Antonio Musu', 'Saadi Yacef']","['Jean Martin', 'Saadi Yacef', 'Brahim Haggiag', 'Tommaso Neri']",Marcello Gatti,"['Mario Morra', 'Mario Serandrei']","['Ennio Morricone', 'Gillo Pontecorvo']","Rizzoli , Rialto Pictures","['August 31, 1966 ( VIFF )', 'September 8, 1966 (Algeria)']",120 minutes,,,120,1966-08-31,7.3,N/A,,N/A,Documentary,N/A,,,,,"$800,000","$879,794 (domestic)",,"['Italy', 'Algeria']","['Arabic', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Loves of a Blonde,Miloš Forman,"['Miloš Forman', 'Jaroslav Papoušek', 'Ivan Passer', 'Václav Šašek']","['Doro Vlado Hreljanović', 'Rudolf Hájek']","['Hana Brejchová', 'Vladimír Pucholt', 'Vladimír Menšík']",Miroslav Ondříček,Miroslav Hájek,Evžen Illín,,"['November 12, 1965']",90 minutes,Czechoslovakia,Czech,90,1965-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pharaoh,Jerzy Kawalerowicz,"['Jerzy Kawalerowicz', 'Tadeusz Konwicki', 'Bolesław Prus']",,"['Jerzy Zelnik', 'Wiesława Mazurkiewicz', 'Barbara Brylska', 'Krystyna Mikołajewska']",Jerzy Wójcik,Wiesława Otocka,Adam Walaciński,,['11 March 1966'],175 minutes,Poland,Polish,175,1966-03-11,N/A,N/A,,"In ancient Egypt, a young Pharaoh is forced to make a decision that could alter the course of her life in power.","Animation, Short",N/A,,,,,,7 million tickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Three,Aleksandar Petrović,"['Aleksandar Petrović (', ')', 'Antonije Isaković', '(', ')']",,"['Bata Živojinović', 'Kole Angelovski', 'Stole Aranđelović', 'Dragomir Bojanić', 'Milan Jelić']",Tomislav Pinter,Mirjana Mitić,,,['1965'],80 minutes,,Serbo-Croatian,80,,4.9,N/A,17%,Three people - a rich couple and a crew member - are shipwrecked on a tropical island and their subsequent fight for survival becomes even tougher when they begin to turn on each other.,"Drama, Romance, Thriller",1 win,,,,,,,,SFR Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Closely Watched Trains,Jiří Menzel,,Zdeněk Oves,"['Václav Neckář', 'Jitka Bendová', 'Josef Somr', 'Vlastimil Brodský', 'Vladimír Valenta']",Jaromír Šofr,Jiřina Lukešová,Jiří Šust,Ústřední půjčovna filmů,['18 November 1966'],92 minutes,Czechoslovakia,,92,1966-11-18,,,,,,,"['Bohumil Hrabal', 'Jiří Menzel']",,"['Closely Watched Trains', 'by Bohumil Hrabal']",,,"$1,500,000 (US/ Canada)","['Barrandov Studios', 'Ceskoslovensky Film']",,"['Czech', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bewitched Love,Francisco Rovira Beleta,"['José Manuel Caballero Bonald', 'José Antonio Medrano', 'Francisco Rovira Beleta']",,,"['Francisco Marín', 'Gábor Pogány']",Emilio Rodríguez,,,['14 September 1967'],103 minutes,Spain,Spanish,103,1967-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,I Even Met Happy Gypsies,Aleksandar Petrović,Aleksandar Petrović,,"['Bekim Fehmiu', 'Olivera Vučo', 'Bata Živojinović', 'Gordana Jovanović', 'Mija Aleksić']",Tomislav Pinter,Mirjana Mitić,Aleksandar Petrović,,['1967'],82 minutes,,Serbo-Croatian,82,,,,,,,,,,,,,,,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Live for Life (Vivre pour vivre),Claude Lelouch,"['Claude Lelouch', 'Pierre Uytterhoeven']","['Georges Dancigers', 'Alexandre Mnouchkine']","['Yves Montand', 'Candice Bergen', 'Annie Girardot']",Patrice Pouget,"['Claude Barrois', 'Claude Lelouch']",Francis Lai,United Artists,1967,130 minutes,France,French,130,,,,,,,,,,,,,"$400,000 (US)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Portrait of Chieko,Noboru Nakamura,,Masao Shirai,"['Shima Iwashita', 'Tetsurō Tanba']",Hiroshi Takemura,Keiichi Uraoka,Masaru Satō,Shochiku,"['June 5, 1967']",125 minutes,Japan,Japanese,125,1967-06-05,,,,,,,"['Noboru Nakamura', 'Joe Hirose']",,"['Chieko-shō by Kōtarō Takamura', 'Shōsetsu Chieko-shō by Haruo Satō']",Shochiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,War and Peace,Sergei Bondarchuk,,"['Viktor Tsirgiladze', 'Nikolai Ivanov', 'G. Meyerovich', 'V. Krivonoschenko']","['Sergei Bondarchuk', 'Ludmila Savelyeva', 'Vyacheslav Tikhonov']","['Anatoly Petritsky', 'Yu-Lan Chen', 'Alexander Shelenkov']",Tatiana Likhacheva,Vyacheslav Ovchinnikov,Continental Distributing,"['14 March 1966 (Part I)', '20 July 1966 (Part II)', '21 July 1967 (Part III)', '4 November 1967 (Part IV)']","['Part I:', '147 minutes', 'Part II:', '100 minutes', 'Part III:', '84 minutes', 'Part IV:', '100 minutes', 'Total:', '431 minutes']",Soviet Union,,Part,1966-03-14,6.8,N/A,43%,"Napoleon's tumultuous relations with Russia, including his disastrous 1812 invasion, serve as the backdrop for the tangled personal lives of two aristocratic families.","Drama, Romance, War",Nominated for 3 Oscars. 5 wins & 13 nominations total,"['Sergei Bondarchuk', 'Vasily Solovyov']",,"['War and Peace', 'by', 'Leo Tolstoy']",Mosfilm,"['8,291,712 Soviet rubles', '(US$9.2 million)']","58,000,000 Soviet rubles (USSR estimate)",,,"['Russian', 'French', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,The Boys of Paul Street,Zoltán Fábri,"['Endre Bohem', 'Zoltán Fábri', 'Ferenc Molnár']",Endre Bohem,Mari Törőcsik,György Illés,,,20th Century Fox,['23 June 1969'],110 minutes,Hungary,Hungarian,110,1969-06-23,,,,,,,,,,,,,"['Groskopf', 'MAFILM Stúdió 1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,The Firemen's Ball,Miloš Forman,"['Miloš Forman', 'Jaroslav Papoušek', 'Ivan Passer', 'Václav Šašek']",Rudolf Hájek,Jan Vostrčil,Miroslav Ondříček,Miroslav Hájek,Karel Mareš,,['15 December 1967'],73 minutes,Czechoslovakia,Czech,73,1967-12-15,,,,,,,,,,,"$65,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,La ragazza con la pistola,Mario Monicelli,"['Luigi Magni', 'Rodolfo Sonego']",Gianni Hecht Lucari,"['Monica Vitti', 'Stanley Baker', 'Carlo Giuffrè', 'Corin Redgrave', 'Anthony Booth', 'Johnny Briggs']",Carlo Di Palma,Ruggero Mastroianni,Peppino De Luca,Documento Film,['1968'],100 minutes,Italy,Italian,100,,6.7,N/A,,"A Sicilian woman ""dishonored"" by her lover goes to England with a pistol intending to murder him.","Comedy, Drama, Romance",Nominated for 1 Oscar. 6 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Stolen Kisses,François Truffaut,"['François Truffaut', 'Claude de Givray', 'Bernard Revon']","['François Truffaut', 'Marcel Berbert']","['Jean-Pierre Léaud', 'Claude Jade', 'Delphine Seyrig']",Denys Clerval,Agnès Guillemot,"['Antoine Duhamel', 'Song:', 'Que reste-t-il de nos amours?', 'by', 'Charles Trenet']",United Artists,"['14 August 1968 ( Avignon )', '4 September 1968 (France)']",91 minutes,France,French,91,1968-08-14,5.1,N/A,,"Max and Karen (Tracy Ryan) seem like a normal happily married couple, but in reality are undercover agents working for different governments. Their sexual relationship develops with new neighbors Melinda (Renee Rea) and Phil.",Drama,N/A,,,,Les Films du Carrosse,"$350,000","['$1.5 million', '1,156,101 admissions (France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Z,Costa-Gavras,,"['Jacques Perrin', 'Ahmed Rachedi']","['Jean-Louis Trintignant', 'Yves Montand', 'Irene Papas', 'Jacques Perrin']",Raoul Coutard,Françoise Bonnot,Mikis Theodorakis,Cinema V,"['26 February 1969 (France)', 'May 1969 ( Cannes )']",127 minutes,,,127,1969-02-26,8.3,86,94%,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,"Crime, Drama, History",Won 2 Oscars. 12 wins & 13 nominations total,"['Jorge Semprún', 'Costa-Gavras']",,"['Z', 'by', 'Vassilis Vassilikos']",,,$17.3 million (United States),"[""Office National pour le Commerce et l'Industrie Cinématographique"", 'Reggane Films', 'Valoria Films']","['Algeria', 'France']","['French', 'Russian', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Ådalen 31,Bo Widerberg,Bo Widerberg,,"['Peter Schildt', 'Kerstin Tidelius', 'Roland Hedlund']",Jörgen Persson,Bo Widerberg,,AB Svensk Filmindustri,['1 May 1969 (Sweden)'],114 minutes,Sweden,Swedish,114,1969-05-01,7.2,N/A,83%,"During a strike strike-breakers are being transported to Lunde, where they are assaulted by the strikers. The military are sent in. On the 14th May 1931 there is a confrontation between demonstrators and the military who open fire an","Drama, History, Romance",Nominated for 1 Oscar. 6 wins & 4 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Battle of Neretva,Veljko Bulajić,,Steve Previn,"['Yul Brynner', 'Sergei Bondarchuk', 'Curd Jürgens', 'Sylva Koscina', 'Hardy Krüger', 'Franco Nero', 'Orson Welles']",Tomislav Pinter,Vojislav Bjenjas,"['Vladimir Kraus-Rajteric', 'English Version:', 'Bernard Herrmann']",American International Pictures,['7 October 1969'],"['175 minutes', '126 minutes']",,,175,1969-10-07,,,,,,,"['Ratko Djurović', 'Stevan Bulajić', 'Veljko Bulajić', 'Ugo Pirro', 'English Version:', 'Alfred Hayes']","['Stevan Bulajic', 'Ratko Djurovic']",,,$12 million,,"['Bosna Film', 'Jadran Film', 'Kinema Sarajevo', 'Radna Zajednica Filma', 'Igor Film', 'Eichberg-Film', 'Commonwealth United Entertainment']","['Yugoslavia', 'Italy', 'West Germany', 'United States']","['Serbo-Croatian', 'Italian', 'German', 'English']",,,,,,Technicolor,,,,,,,,,,,,,,,,,,,,,,
76,The Brothers Karamazov,"['Kirill Lavrov', 'Ivan Pyryev', 'Mikhail Ulyanov']","['Ivan Pyryev', '(screenplay)', 'Fyodor Dostoyevsky', '(novel)']",,"['Mikhail Ulyanov', 'Lionella Pyryeva', 'Kirill Lavrov', 'Andrey Myagkov', 'Mark Prudkin']",Sergei Vronsky,V. Yankovsky,Isaak Shvarts,,['1969'],232 minutes,Soviet Union,Russian,232,,6.7,N/A,30%,Drama based on Russian writer Fyodor Dostoevsky's homonymous novel about the proud Karamazov family in 1870s Russia.,"Drama, Romance",Nominated for 1 Oscar. 2 wins & 7 nominations total,,,,Mosfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,My Night at Maud's,Éric Rohmer,Éric Rohmer,"['Pierre Cottrell', 'Barbet Schroeder']","['Jean-Louis Trintignant', 'Françoise Fabian', 'Marie-Christine Barrault', 'Antoine Vitez']",Néstor Almendros,Cécile Decugis,,Compagnie Française de Distribution Cinématographique,['15 May 1969'],110 minutes,France,French,110,1969-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Investigation of a Citizen Above Suspicion,Elio Petri,,"['Marina Cicogna', 'Daniele Senatore']","['Gian Maria Volonté', 'Florinda Bolkan']",Luigi Kuveiller,Ruggero Mastroianni,Ennio Morricone,"['Euro International Films', 'Columbia Pictures']","['February 9, 1970 (Italy)', 'December 20, 1970 (United States)']",115 minutes,Italy,Italian,115,1970-02-09,N/A,N/A,,N/A,Documentary,N/A,"['Elio Petri', 'Ugo Pirro']",,,Vera Film,,₤ 1.928 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,First Love,Maximilian Schell,"['Screenplay:', 'Maximilian Schell', 'Novella:', 'Ivan Turgenev']","['Barry Levinson', 'Maximilian Schell']","['Maximilian Schell', 'Dominique Sanda', 'John Moulder-Brown']",Sven Nykvist,Dagmar Hirtz,Mark London,,['10 July 1970 ( San Sebastian Film Festival )'],,,,,1970-07-10,7.0,N/A,,"An orphaned boarding school graduate secretly attends a prestigious ball, where she falls for the boyfriend of her snobbish cousin.","Comedy, Musical",Nominated for 2 Oscars. 2 nominations total,,,,,,,,"['Switzerland', 'West Germany', 'Hungary']","['English', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Hoa-Binh,Raoul Coutard,"['Raoul Coutard', 'Francoise Lorrain']",Gilbert de Goldschmitt,Lan Phi,Georges van der Liron,Victoria Mercanton,Michel Portal,Warner Bros.,['17 July 1970'],105 minutes,France,French,105,1970-07-17,7.6,N/A,,A small Vietnamese boy grows up during the horrors and hardships of The Vietnam War era.,Drama,Nominated for 1 Oscar. 2 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Peace in the Fields,Jacques Boigelot,"['Marie Gevers', 'Jacques Boigelot']",Jacques de Pauw,Christian Barbier,Philippe Collette,,,,['1970'],91 minutes,Belgium,French,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tristana,Luis Buñuel,,"['Luis Buñuel', 'Robert Dorfmann']","['Catherine Deneuve', 'Fernando Rey', 'Franco Nero', 'Lola Gaos', 'Antonio Casas', 'Jesús Fernández']",José F. Aguayo,Pedro del Rey,,"['Mercurio Films S.A. (Spain)', 'Valoria Films (France)', 'Dear Film (Italy)']","['29 March 1970 (Spain)', '29 April 1970 (France)', '27 August 1970 (Italy)']",100 minutes,,Spanish,100,1970-03-29,7.5,93,97%,"Shortly after her mother's death, an innocent and youthful woman will find refuge into the household of her middle-aged aristocratic guardian, who will submit her to his sexual advances.",Drama,Nominated for 1 Oscar. 11 wins & 3 nominations total,"['Luis Buñuel', 'Julio Alejandro']",,"['Tristana', 'by', 'Benito Pérez Galdós']",,,$3.3 million,"['Talía Film', 'Época Film', 'Selenia Cinematografica', 'Les Films Corona']","['Spain', 'France', 'Italy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
